"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
1,464,9,1,1,8.26438693688153,4.23520151527277,11,-0.233608090473683
2,189,21,1,1,8.0905425870336,5.709371085535,3,0.108588971923806
3,255,141,1,1,7.35519808366259,4.13488951490558,14,-0.142655713362772
4,60,21,1,1,6.35829697305259,4.86285522321246,7,0.20944705347254
5,618,347,1,1,5.74519100269371,5.77256665432805,2,0.611978861082218
6,448,21,1,1,5.16267339193827,4.23158061027047,12,0.296797356242425
7,370,275,1,1,4.47901027607802,5.83350346809586,1,1.06854178380729
8,207,21,1,1,4.34212910913232,3.19904506405616,20,0.158117494112916
9,344,382,1,1,4.28276007169945,2.31006331407872,31,-0.157064010726876
10,683,21,1,1,3.61465158001322,1.9793970965476,34,-0.134551046095463
11,372,310,1,1,3.60182058927799,3.46493156685573,19,0.501215075095662
12,129,93,1,1,3.50033983779644,5.16224802908685,5,1.28016365134258
13,663,333,1,1,3.42822407905137,2.12764298218328,32,-0.0210857043531372
14,182,156,1,1,3.42738343782201,1.17742914225629,58,-0.44072736508269
15,672,21,1,1,3.19394570476854,1.78630587139836,36,-0.109336525708279
16,355,151,1,1,3.03403505293547,1.27971970857116,52,-0.308351133049977
17,587,346,1,1,3.00536460583422,0.932862872958342,73,-0.470444478396156
18,571,275,1,1,2.95672441630706,4.66916913509856,9,1.38192225147657
19,239,177,1,1,2.91955159116698,2.33160338824119,30,0.243666759712289
20,699,293,1,1,2.8897447791371,4.47361440136741,10,1.32879165494643
21,150,170,1,1,2.87660425272924,4.20047962266146,13,1.20001749725475
22,18,189,1,1,2.73780648893687,0.582615749507065,102,-0.59471604316156
23,433,80,1,1,2.54351321853586,2.73945523073793,25,0.626387158446323
24,574,313,1,1,2.53738794569249,0.693643904440569,92,-0.494758480198083
25,462,347,1,1,2.51646715299675,2.59077828498293,27,0.558848264552082
26,715,313,1,1,2.42433348823124,0.377448375115053,132,-0.647846639691697
27,647,118,1,1,2.14418249497144,3.78710590003623,16,1.50799485341249
28,374,118,1,1,2.12548006616239,2.57295179374841,28,0.772271169257884
29,5,333,1,1,2.11726519499986,3.02607788057743,21,1.05953659795472
30,612,8,1,1,2.10870154982303,0.498615064054987,112,-0.507365740391675
31,321,346,1,1,2.06720692158822,1.53855191251804,39,0.158117494112916
32,331,21,1,1,2.04753915824937,1.36072237089336,50,0.054557856808413
33,564,385,1,1,1.97320516091813,1.20943535611587,55,-0.0111799999153152
34,279,141,1,1,1.96727105330428,0.493642785578619,114,-0.474046552737182
35,438,30,1,1,1.93213473279506,1.11353094546875,64,-0.0562059291781425
